'HEARING_AID_ID','ENVIRONMENT_CLASSIFICATION_UNIT','HA_PROG','HA_VOL'
'82FDB5D5','2',18.626308,42.144375
'82FB0727','2',36.12375,64.53358
'82FDB5D5','2',28.409824,47.224277
'82FB0727','2',28.033535,46.659843
'82FDB5D5','2',31.231993,56.81965
'82FB0727','2',32.73715,62.27584
'82FDB5D5','2',29.726835,60.770683
'82FB0727','2',38.005196,51.92789
'82FDB5D5','2',39.32221,64.72172
'82FB0727','2',18.25002,39.32221
'82FDB5D5','2',22.577343,41.768085
'82FB0727','2',22.765488,63.59285
'82FDB5D5','2',50.23459,53.244904
'82FB0727','2',17.121153,54.373768
'82FDB5D5','2',36.50004,73.376366
'82FB0727','2',39.134064,55.126347
'82FDB5D5','2',29.726835,69.23719
'82FB0727','2',17.121153,52.116035
'82FDB5D5','2',31.98457,70.17791
'82FB0727','2',31.043848,49.8583
'82FDB5D5','2',21.448477,60.394394
'82FB0727','2',24.646935,68.10832
'82FDB5D5','2',32.36086,64.53358
'82FB0727','2',47.78871,74.50523
'82FDB5D5','2',37.44076,62.27584
'82FB0727','2',48.165,57.572227
'82FDB5D5','2',28.033535,55.31449
'82FB0727','2',40.639217,76.01039
'82FDB5D5','2',39.134064,65.662445
'82FB0727','2',31.98457,64.34543
'82FDB5D5','2',36.50004,57.572227
'82FB0727','2',32.549004,60.20625
'82FDB5D5','2',40.451073,76.38668
'82FB0727','2',25.399511,55.502636
'82FDB5D5','2',30.29127,51.92789
'82FB0727','2',35.935604,65.4743
'82FDB5D5','2',25.587656,62.463985
'82FB0727','2',21.448477,63.780994
'82FDB5D5','2',33.866016,46.84799
'82FB0727','2',26.904669,43.273243
'82FDB5D5','2',27.657246,57.384083
'82FB0727','2',29.726835,59.641815
'82FDB5D5','2',41.015507,60.018105
'82FB0727','2',25.7758,63.59285
'82FDB5D5','2',30.103125,53.621193
'82FB0727','2',40.074783,63.96914
'82FDB5D5','2',31.420137,60.958828
'82FB0727','2',22.201056,66.415016
'82FDB5D5','2',24.45879,57.948517
'82FB0727','2',26.52838,59.07738
'82FDB5D5','2',37.252617,54.750057
'82FB0727','2',47.412422,61.711407
'82FDB5D5','1',48.165,57.948517
'82FB0727','1',47.976856,56.06707
'82FDB5D5','2',41.20365,53.244904
'82FB0727','2',33.113438,51.363457
'82FDB5D5','1',44.778397,55.878925
'82FB0727','0',41.391796,58.324806
'82FDB5D5','1',48.165,55.69078
'82FB0727','2',39.698498,54.185623
'82FDB5D5','3',43.649532,66.979454
'82FB0727','3',41.768085,63.40471
'82FDB5D5','1',44.590256,66.226875
'82FB0727','1',41.20365,65.09801
'82FDB5D5','3',46.84799,74.128944
'82FB0727','1',53.05676,71.68307
'82FDB5D5','1',42.896954,64.90987
'82FB0727','1',40.074783,66.226875
'82FDB5D5','1',47.600567,72.811935
'82FB0727','1',49.48201,74.69338
'82FDB5D5','1',48.165,70.93049
'82FB0727','1',46.283554,70.5542
'82FDB5D5','1',48.91758,71.11863
'82FB0727','1',42.144375,68.8609
'82FDB5D5','1',60.394394,79.20885
'82FB0727','1',55.126347,88.99236
'82FDB5D5','3',66.791306,79.20885
'82FB0727','3',66.415016,84.85318
'82FDB5D5','3',52.116035,76.19853
'82FB0727','3',49.105724,77.51555
'82FDB5D5','3',47.412422,77.70369
'82FB0727','3',45.34283,82.21916
'82FDB5D5','3',51.363457,76.19853
'82FB0727','3',50.610878,74.69338
'82FDB5D5','3',53.244904,76.95111
