HA_USAGE,HA_USAGE_SCALED,prediction
814,0.416155419222904,3
675,0.345092024539877,2
1333,0.681492842535787,4
252,0.128834355828221,1
12,0.006134969325153,0
19,0.009713701431493,0
806,0.412065439672802,3
214,0.109406952965235,1
364,0.186094069529652,2
164,0.083844580777096,1
1620,0.828220858895705,4
122,0.062372188139059,0
1149,0.587423312883436,3
273,0.139570552147239,1
1266,0.647239263803681,4
839,0.428936605316973,3
1758,0.898773006134969,4
94,0.048057259713702,0
129,0.065950920245399,0
1506,0.769938650306748,4
1504,0.768916155419223,4
354,0.180981595092025,2
1715,0.87678936605317,4
1743,0.891104294478528,4
617,0.315439672801636,2
1612,0.824130879345603,4
119,0.060838445807771,0
697,0.356339468302658,2
155,0.079243353783231,1
182,0.093047034764826,1
471,0.24079754601227,2
750,0.383435582822086,2
1153,0.589468302658487,3
884,0.451942740286299,3
1538,0.786298568507158,4
588,0.300613496932515,2
276,0.141104294478528,1
1121,0.573108384458078,3
776,0.396728016359918,3
158,0.08077709611452,1
741,0.378834355828221,2
1299,0.664110429447853,4
527,0.269427402862986,2
248,0.12678936605317,1
971,0.496421267893661,3
734,0.375255623721881,2
1034,0.528629856850716,3
1504,0.768916155419223,4
870,0.44478527607362,3
563,0.287832310838446,2
313,0.160020449897751,1
105,0.053680981595092,0
1326,0.677914110429448,4
128,0.065439672801636,0
183,0.093558282208589,1
1243,0.635480572597137,3
1470,0.751533742331288,4
654,0.334355828220859,2
528,0.269938650306748,2
295,0.15081799591002,1
72,0.03680981595092,0
1506,0.769938650306748,4
98,0.050102249488753,0
566,0.289366053169734,2
444,0.226993865030675,2
1080,0.552147239263804,3
1024,0.523517382413088,3
464,0.23721881390593,2
150,0.076687116564417,1
239,0.122188139059305,1
1,5.11247443763E-4,0
487,0.248977505112474,2
1611,0.82361963190184,4
1219,0.62321063394683,3
252,0.128834355828221,1
712,0.3640081799591,2
261,0.133435582822086,1
385,0.196830265848671,2
1797,0.918711656441718,4
1520,0.777096114519427,4
383,0.195807770961145,2
355,0.181492842535787,2
534,0.273006134969325,2
775,0.396216768916155,3
622,0.31799591002045,2
841,0.429959100204499,3
80,0.040899795501023,0
1071,0.547546012269939,3
187,0.09560327198364,1
355,0.181492842535787,2
208,0.106339468302658,1
1664,0.850715746421268,4
2,0.001022494887526,0
80,0.040899795501023,0
1134,0.579754601226994,3
2,0.001022494887526,0
1045,0.534253578732106,3
278,0.142126789366053,1
676,0.34560327198364,2
1494,0.763803680981595,4
419,0.214212678936605,2
179,0.091513292433538,1
250,0.127811860940695,1
186,0.095092024539877,1
125,0.063905930470348,0
793,0.405419222903886,3
1266,0.647239263803681,4
394,0.201431492842536,2
1035,0.529141104294479,3
1061,0.542433537832311,3
740,0.378323108384458,2
1517,0.775562372188139,4
1503,0.76840490797546,4
933,0.476993865030675,3
431,0.220347648261759,2
132,0.067484662576687,0
556,0.284253578732106,2
1602,0.819018404907975,4
537,0.274539877300613,2
997,0.509713701431493,3
560,0.286298568507157,2
731,0.373721881390593,2
878,0.448875255623722,3
136,0.069529652351738,0
122,0.062372188139059,0
707,0.361451942740286,2
1110,0.567484662576687,3
561,0.28680981595092,2
427,0.218302658486708,2
261,0.133435582822086,1
368,0.188139059304703,2
4,0.002044989775051,0
1458,0.745398773006135,4
854,0.436605316973415,3
271,0.138548057259714,1
15,0.007668711656442,0
2,0.001022494887526,0
512,0.261758691206544,2
99,0.050613496932515,0
4,0.002044989775051,0
992,0.507157464212679,3
1473,0.753067484662577,4
1075,0.54959100204499,3
692,0.353783231083845,2
1137,0.581288343558282,3
550,0.28118609406953,2
919,0.469836400817996,3
692,0.353783231083845,2
28,0.014314928425358,0
13,0.006646216768916,0
438,0.223926380368098,2
1326,0.677914110429448,4
1310,0.669734151329243,4
561,0.28680981595092,2
934,0.477505112474438,3
170,0.086912065439673,1
533,0.272494887525562,2
593,0.303169734151329,2
1155,0.590490797546012,3
511,0.261247443762781,2
882,0.450920245398773,3
781,0.399284253578732,3
164,0.083844580777096,1
232,0.118609406952965,1
207,0.105828220858896,1
799,0.408486707566462,3
1040,0.531697341513292,3
535,0.273517382413088,2
581,0.297034764826176,2
137,0.070040899795501,0
1092,0.558282208588957,3
1886,0.964212678936605,4
151,0.07719836400818,1
171,0.087423312883436,1
292,0.149284253578732,1
88,0.044989775051125,0
1650,0.843558282208589,4
119,0.060838445807771,0
1419,0.725460122699387,4
1292,0.660531697341513,4
50,0.025562372188139,0
1397,0.714212678936605,4
118,0.060327198364008,0
1235,0.631390593047035,3
175,0.089468302658487,1
67,0.034253578732106,0
242,0.123721881390593,1
411,0.210122699386503,2
748,0.38241308793456,2
57,0.029141104294479,0
331,0.169222903885481,1
63,0.032208588957055,0
44,0.022494887525562,0
1568,0.801635991820041,4
842,0.430470347648262,3
1580,0.807770961145194,4
451,0.230572597137014,2
114,0.058282208588957,0
519,0.265337423312883,2
817,0.417689161554192,3
14,0.007157464212679,0
1956,1.0,4
1356,0.693251533742331,4
622,0.31799591002045,2
1000,0.511247443762781,3
5,0.002556237218814,0
15,0.007668711656442,0
13,0.006646216768916,0
585,0.299079754601227,2
97,0.04959100204499,0
